ID_x,Team_Name,Opponent_Name,Year,Owner_Team_Code,PlayNum,Possession,Yard,Hash,Down,Distance,Drive,Quarter,D_Formation,Formation,Formation_Strength,Play_Type,Play_Type_Dir,Pass_Zone,Coverage,Pressure_Left,Pressure_Middle,Pressure_Right,Result,Result_BallCarrier,Event,Result_Lat,Result_Lon,Play_Lat,Play_Lon,Simplified,ID_y,Team_Code,Wide_Recievers,Tight_Ends,Running_Backs,Image
154,Burnsville,Park,2021,EVHS22,25,Park,57,Left,2,5,6,1,3-4,Double Wide,Left,Inside Run,Right,Non Passing Play,Zone 4,0,0,0,11,-99,,6.8,5.045,5.7,5.045,false,18,EVHS22,4,0,1,/Dev
257,Burnsville,Park,2021,EVHS22,25,Park,57,Left,2,5,6,1,3-4,Double Wide,Left,Inside Run,Right,Non Passing Play,Zone 4,0,0,0,11,-99,,6.8,5.045,5.7,5.045,false,18,EVHS22,4,0,1,/Dev
258,Burnsville,Park,2021,EVHS22,26,Park,68,Left,1,10,6,1,3-4,Trips Flex,Right,Inside Run,Left,Non Passing Play,Man 0,0,0,0,6,-99,,7.4,5.045,6.8,5.045,false,19,EVHS22,4,0,1,/Dev
155,Burnsville,Park,2021,EVHS22,26,Park,68,Left,1,10,6,1,3-4,Trips Flex,Right,Inside Run,Left,Non Passing Play,Man 0,0,0,0,6,-99,,7.4,5.045,6.8,5.045,false,19,EVHS22,4,0,1,/Dev
259,Burnsville,Park,2021,EVHS22,27,Park,74,Left,2,4,6,1,3-4,Double Wide,Left,Pocket Pass,Unknown,Middle - Middle,Zone 4,0,0,0,13,-99,,8.7,5.045,7.4,5.045,false,18,EVHS22,4,0,1,/Dev
156,Burnsville,Park,2021,EVHS22,27,Park,74,Left,2,4,6,1,3-4,Double Wide,Left,Pocket Pass,Unknown,Middle - Middle,Zone 4,0,0,0,13,-99,,8.7,5.045,7.4,5.045,false,18,EVHS22,4,0,1,/Dev
260,Burnsville,Park,2021,EVHS22,28,Park,87,Left,1,10,6,1,3-4,Double Wide,Right,Pocket Pass,Unknown,Flats - Right,Zone 4,0,0,0,0,-99,,8.7,5.045,8.7,5.045,false,18,EVHS22,4,0,1,/Dev
157,Burnsville,Park,2021,EVHS22,28,Park,87,Left,1,10,6,1,3-4,Double Wide,Right,Pocket Pass,Unknown,Flats - Right,Zone 4,0,0,0,0,-99,,8.7,5.045,8.7,5.045,false,18,EVHS22,4,0,1,/Dev
261,Burnsville,Park,2021,EVHS22,29,Park,87,Left,2,10,6,1,3-4,Double Wide,Right,Pocket Pass,Unknown,Flats - Left,Zone 3,0,0,0,8,-99,,9.5,5.045,8.7,5.045,false,18,EVHS22,4,0,1,/Dev
158,Burnsville,Park,2021,EVHS22,29,Park,87,Left,2,10,6,1,3-4,Double Wide,Right,Pocket Pass,Unknown,Flats - Left,Zone 3,0,0,0,8,-99,,9.5,5.045,8.7,5.045,false,18,EVHS22,4,0,1,/Dev
