ID,Team_Name,Opponent_Name,Year,Owner_Team_Code,PlayNum,Possession,Yard,Hash,Down,Distance,Drive,Quarter,D_Formation,Formation,Formation_Strength,Play_Type,Play_Type_Dir,Pass_Zone,Coverage,Pressure_Left,Pressure_Middle,Pressure_Right,Result,Result_BallCarrier,Result_Lat,Result_Lon,Play_Lat,Play_Lon,Simplified
117,Burnsville,Farmington,2021,EVHS22,89,Farmington,31,Right,2,9,17,1,4-3,Double Wide,Left,Inside Run,Not Selected,Non Passing Play,Man 1,1,0,0,69,-99,10.0,5.045,3.1,6.0,false
118,Burnsville,Farmington,2021,EVHS22,90,Burnsville,15,Right,1,10,18,1,3-4,Wing,Right,Inside Run,Left,Non Passing Play,Zone 4,0,0,0,3,-99,1.8,5.045,1.5,6.0,false
119,Burnsville,Farmington,2021,EVHS22,91,Burnsville,27,Middle,1,10,18,1,3-4,Wing,Right,Boot Pass,Not Selected,Deep - Left,Zone 4,0,0,0,0,-99,2.7,5.045,2.7,4.0,false
120,Burnsville,Farmington,2021,EVHS22,92,Burnsville,27,Left,2,10,18,1,3-4,Wing,Left,Outside Run,Right,Non Passing Play,Zone 4,0,0,0,2,-99,2.9,5.045,2.7,5.045,false
121,Burnsville,Farmington,2021,EVHS22,93,Burnsville,30,Right,3,6,18,1,3-4,Wing,Right,Pocket Pass,Not Selected,Non Passing Play,Zone 3,0,0,0,8,-99,3.8,5.045,3.0,6.0,false
122,Burnsville,Farmington,2021,EVHS22,94,Burnsville,38,Right,1,10,18,1,3-4,Wing,Right,Pocket Pass,Not Selected,Deep - Right,Zone 4,0,0,0,0,-99,3.8,5.045,3.8,6.0,false
123,Burnsville,Farmington,2021,EVHS22,95,Burnsville,38,Right,2,10,18,1,3-4,Wing,Right,Outside Run,Left,Non Passing Play,Zone 3,1,0,0,2,-99,4.0,5.045,3.8,6.0,false
124,Burnsville,Farmington,2021,EVHS22,96,Burnsville,40,Left,3,8,18,1,3-4,Wing,Left,Inside Run,Left,Non Passing Play,Zone 4,0,0,0,2,-99,4.2,5.045,4.0,5.045,false
125,Burnsville,Farmington,2021,EVHS22,97,Farmington,35,Right,1,10,19,1,4-3,Double Wide,Left,Outside Run,Right,Non Passing Play,Man 0,1,0,0,-4,-99,3.1,5.045,3.5,6.0,false
126,Burnsville,Farmington,2021,EVHS22,98,Farmington,33,Right,2,12,19,1,4-3,Double Wide,Left,Pocket Pass,Not Selected,Middle - Left,Man 1,1,0,0,0,-99,3.3,5.045,3.3,6.0,false
127,Burnsville,Farmington,2021,EVHS22,99,Farmington,33,Right,3,12,19,1,3-4,Double Wide,Left,Inside Run,Left,Non Passing Play,Man 1,0,0,0,2,-99,3.5,5.045,3.3,6.0,false
128,Burnsville,Farmington,2021,EVHS22,100,Burnsville,75,Left,1,10,20,1,3-4,Twins,Right,Outside Run,Right,Non Passing Play,Zone 3,0,0,0,0,-99,7.5,5.045,7.5,5.045,false
129,Burnsville,Farmington,2021,EVHS22,101,Burnsville,75,Middle,2,10,20,1,3-4,Twins,Right,Pocket Pass,Not Selected,Middle - Left,Zone 3,0,0,0,0,-99,7.5,5.045,7.5,4.0,false
